,id,seeker_post,response_post,ER_label,IP_label,EX_label,conv_type
0,0,i wasn't aware that confederates killed george floyd.,"enslaved, tortured and terrorized his ancestors. the great migration is often explained by jobs, but confederates drove his grandparents north.

the word terrorism was invented for the kkk, who were confederacy. that stain of racism still lives and killed floyd.",0,2,0,between
1,1,"coincidentally, this is their 2016 prediction:",i heard that their polling and other sampling has changed after 2016. so this number should reflect that.,0,0,0,between
2,2,magats are shaking in their little red beanies.,seriously? i don’t think that’s what’s happening. you should follow the maga crowd. quite the opposite.,0,0,2,between
3,3,"too little too late. the new post master general hit the ground bucking! he’s already implemented changes, staff and vote collection boxes! by having major changes during a time like this and so close to a federal election...it will be a big snafu!",snafu  would be survivable. i expect it to be a clusterfuck.,0,0,0,within
4,4,i'd rather eat a bulls testicle,choke on it,0,0,0,within
5,5,"when you've got a racist-in-chief as president, racism will be endemic. thankfully, biden and harris will be giving trump the boot in november and we can look forward to a better america.","biden co-wrote the 1994 crime bill, and harris used it to prosecute nonviolent african americans
and you want to talk about systemic racism?",0,0,0,between
6,6,misspelling a name is racist how exactly?,you would have to actually read the article to see why the tweet was racist. it had nothing to do with the spelling.,0,0,0,between
7,7,"when you've got a racist-in-chief as president, racism will be endemic. thankfully, biden and harris will be giving trump the boot in november and we can look forward to a better america.",because they are so much better than king cheeto 🥴,0,0,0,within
8,8,seriously.. who the f cares? bob woodward is a hack!,maybe someday he can get his face added to mount rushmore.,0,0,0,between
9,9,"dont say this often but she needs to go back to that other place. 

that flag represent a journey towards good. we are not yet perfect but its the flag that give hope. 

do come back when you gain that understanding.",i find it hard to believe you don't say that often lol,0,0,0,between
10,10,why no description of the people who attacked the hostess?,there’s gotta be video somewhere,0,0,0,between
11,11,shoot one and the crowd will leave the precinct alone. guaranteed.,just one?,0,0,2,within
12,12,"obama care was shut down, for your information !",really what did obama' do for the fine people of our country???,0,0,2,between
13,13,who really cares about his health questions? where's trump's tax returns??,"those really don’t matter...not like jobs, getting over the covid cooties, jobs, stopping to immigrants so us citizens can get on their feet, jobs, oil and gas rebounding, jobs...and well, jobs... who cares what taxes he paid... his business not mine!!!",0,0,0,between
14,14,"dont say this often but she needs to go back to that other place. 

that flag represent a journey towards good. we are not yet perfect but its the flag that give hope. 

do come back when you gain that understanding.",she was born in the us.  that gives her the right of freedom of expression.   how about taking your own advice and coming back when you gain that understanding.,0,0,0,between
15,15,and all of the southern plantations that offer public tours.,did you turn your air conditioning off like your governor told you,0,0,2,between
16,16,can’t wait for the beards to cry about this.,"they arent going to cry, they are going to laugh in the fecking face of this and not comply. tough sht.",0,0,0,between
17,17,how desperate are you guys? did you have a lapse in your memory and forget you ran this video?,douche wagon.   they are stairs that change step height and length depending on the landing.. so they have to short step to walk down them.,0,0,0,between
18,18,how desperate are you guys? did you have a lapse in your memory and forget you ran this video?,he explained he was going down a slick ramp with slick leather bottom shoes... you would do the same...but you go on believing fake jews...your loss,0,0,0,between
19,19,i never liked the south,we don't want you here,1,0,0,between
20,20,how desperate are you guys? did you have a lapse in your memory and forget you ran this video?,i lost the memo that said presidents have to be bicycle riders,0,0,0,between
21,21,i never liked the south,i took a trip there when my cousin's kid got married.  it was nice.  i had a good time.,0,2,0,between
22,22,the smidge of credibility fox had left hanging before trump has been completely wiped off the face of the earth. their complacency during the trump presidency as he broke every norm and sent us spiraling as a nation renders any future coverage null and void.,"while your leftist msm censors the news they report or, not report a story at all.",0,0,0,between
